timeindex,ghi-profile,elec-profile,water-profile
2022-01-12T20:00:00Z,0.0,1,1
2022-01-12T21:00:00Z,0.0,1,1
2022-01-12T22:00:00Z,0.0,1,1
2022-01-12T23:00:00Z,0.0,1,1
2022-01-13T00:00:00Z,0.0,1,1
2022-01-13T01:00:00Z,0.0,1,1
2022-01-13T02:00:00Z,0.0,1,1
2022-01-13T03:00:00Z,0.0,1,1
2022-01-13T04:00:00Z,0.0,1,1
2022-01-13T05:00:00Z,0.0,1,1
2022-01-13T06:00:00Z,0.0,1,1
2022-01-13T07:00:00Z,1.9199653,1,1
2022-01-13T08:00:00Z,105.69674,1,1
2022-01-13T09:00:00Z,318.23886,1,1
2022-01-13T10:00:00Z,527.4661,1,1
2022-01-13T11:00:00Z,691.8286,1,1
2022-01-13T12:00:00Z,791.4864,1,1
2022-01-13T13:00:00Z,816.93835,1,1
2022-01-13T14:00:00Z,766.37915,1,1
2022-01-13T15:00:00Z,644.50214,1,1
2022-01-13T16:00:00Z,463.82822,1,1
2022-01-13T17:00:00Z,247.85643,1,1
2022-01-13T18:00:00Z,53.447327,1,1
2022-01-13T19:00:00Z,0.0,1,1
2022-01-13T20:00:00Z,0.0,1,1
2022-01-13T21:00:00Z,0.0,1,1
2022-01-13T22:00:00Z,0.0,1,1
2022-01-13T23:00:00Z,0.0,1,1
2022-01-14T00:00:00Z,0.0,1,1
2022-01-14T01:00:00Z,0.0,1,1
2022-01-14T02:00:00Z,0.0,1,1
2022-01-14T03:00:00Z,0.0,1,1
2022-01-14T04:00:00Z,0.0,1,1
2022-01-14T05:00:00Z,0.0,1,1
2022-01-14T06:00:00Z,0.0,1,1
2022-01-14T07:00:00Z,1.8215277,1,1
2022-01-14T08:00:00Z,99.247604,1,1
2022-01-14T09:00:00Z,236.89455,1,1
2022-01-14T10:00:00Z,370.32416,1,1
2022-01-14T11:00:00Z,416.4198,1,1
2022-01-14T12:00:00Z,673.5971,1,1
2022-01-14T13:00:00Z,710.1749,1,1
2022-01-14T14:00:00Z,733.14886,1,1
2022-01-14T15:00:00Z,596.306,1,1
2022-01-14T16:00:00Z,376.85532,1,1
2022-01-14T17:00:00Z,161.45784,1,1
2022-01-14T18:00:00Z,53.5458,1,1
2022-01-14T19:00:00Z,0.0,1,1
2022-01-14T20:00:00Z,0.0,1,1
2022-01-14T21:00:00Z,0.0,1,1
2022-01-14T22:00:00Z,0.0,1,1
2022-01-14T23:00:00Z,0.0,1,1
2022-01-15T00:00:00Z,0.0,1,1
2022-01-15T01:00:00Z,0.0,1,1
2022-01-15T02:00:00Z,0.0,1,1
2022-01-15T03:00:00Z,0.0,1,1
2022-01-15T04:00:00Z,0.0,1,1
2022-01-15T05:00:00Z,0.0,1,1
2022-01-15T06:00:00Z,0.0,1,1
2022-01-15T07:00:00Z,1.8543403,1,1
2022-01-15T08:00:00Z,105.22083,1,1
2022-01-15T09:00:00Z,318.5014,1,1
2022-01-15T10:00:00Z,529.1072,1,1
2022-01-15T11:00:00Z,695.4387,1,1
2022-01-15T12:00:00Z,796.13043,1,1
2022-01-15T13:00:00Z,825.42224,1,1
2022-01-15T14:00:00Z,776.3236,1,1
2022-01-15T15:00:00Z,654.9553,1,1
2022-01-15T16:00:00Z,473.72348,1,1
2022-01-15T17:00:00Z,256.14346,1,1
2022-01-15T18:00:00Z,57.32007,1,1
2022-01-15T19:00:00Z,0.0,1,1
2022-01-15T20:00:00Z,0.0,1,1
2022-01-15T21:00:00Z,0.0,1,1
2022-01-15T22:00:00Z,0.0,1,1
2022-01-15T23:00:00Z,0.0,1,1
2022-01-16T00:00:00Z,0.0,1,1
2022-01-16T01:00:00Z,0.0,1,1
2022-01-16T02:00:00Z,0.0,1,1
2022-01-16T03:00:00Z,0.0,1,1
2022-01-16T04:00:00Z,0.0,1,1
2022-01-16T05:00:00Z,0.0,1,1
2022-01-16T06:00:00Z,0.0,1,1
2022-01-16T07:00:00Z,1.8871528,1,1
2022-01-16T08:00:00Z,105.22083,1,1
2022-01-16T09:00:00Z,321.4224,1,1
2022-01-16T10:00:00Z,536.6722,1,1
2022-01-16T11:00:00Z,706.15454,1,1
2022-01-16T12:00:00Z,811.1619,1,1
2022-01-16T13:00:00Z,840.50305,1,1
2022-01-16T14:00:00Z,791.6506,1,1
2022-01-16T15:00:00Z,669.5274,1,1
2022-01-16T16:00:00Z,486.39197,1,1
2022-01-16T17:00:00Z,264.64383,1,1
2022-01-16T18:00:00Z,60.372326,1,1
2022-01-16T19:00:00Z,0.0,1,1
2022-01-16T20:00:00Z,0.0,1,1
2022-01-16T21:00:00Z,0.0,1,1
2022-01-16T22:00:00Z,0.0,1,1
2022-01-16T23:00:00Z,0.0,1,1
2022-01-17T00:00:00Z,0.0,1,1
2022-01-17T01:00:00Z,0.0,1,1
2022-01-17T02:00:00Z,0.0,1,1
2022-01-17T03:00:00Z,0.0,1,1
2022-01-17T04:00:00Z,0.0,1,1
2022-01-17T05:00:00Z,0.0,1,1
2022-01-17T06:00:00Z,0.0,1,1
2022-01-17T07:00:00Z,1.9363889,1,1
2022-01-17T08:00:00Z,111.27611,1,1
2022-01-17T09:00:00Z,327.80588,1,1
2022-01-17T10:00:00Z,552.3765,1,1
2022-01-17T11:00:00Z,724.36957,1,1
2022-01-17T12:00:00Z,830.75555,1,1
2022-01-17T13:00:00Z,860.58887,1,1
2022-01-17T14:00:00Z,810.50555,1,1
2022-01-17T15:00:00Z,685.23175,1,1
2022-01-17T16:00:00Z,497.7969,1,1
2022-01-17T17:00:00Z,272.20883,1,1
2022-01-17T18:00:00Z,63.08,1,1
2022-01-17T19:00:00Z,0.0,1,1
2022-01-17T20:00:00Z,0.0,1,1
2022-01-17T21:00:00Z,0.0,1,1
2022-01-17T22:00:00Z,0.0,1,1
2022-01-17T23:00:00Z,0.0,1,1
2022-01-18T00:00:00Z,0.0,1,1
2022-01-18T01:00:00Z,0.0,1,1
2022-01-18T02:00:00Z,0.0,1,1
2022-01-18T03:00:00Z,0.0,1,1
2022-01-18T04:00:00Z,0.0,1,1
